epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
93,-782.6001,239.8,-0.009142,21839.011719,0.015503,14,17,5.8362,3.7489,1.5141,10.98
94,-762.9103,250.0,-0.005795,21375.119141,0.015324,8,16,4.4347,4.0140,1.5808,10.71
95,-597.0770,250.0,-0.007638,14196.698242,0.015167,13,16,3.8428,4.0831,1.7385,11.19
96,-756.1993,250.0,-0.007040,26253.373047,0.016392,7,16,5.2439,3.7003,1.4187,11.61
97,-887.2698,250.0,-0.004660,18679.119141,0.015454,9,16,4.7931,4.3921,1.5403,11.39
98,-632.9400,250.0,-0.013565,9916.791992,0.015059,50,16,3.5171,3.4500,1.5425,11.45
99,-612.7599,250.0,-0.017146,14101.254883,0.015049,46,16,3.7145,3.1519,1.6801,11.11
100,-629.8940,250.0,-0.007815,32321.750000,0.015543,9,16,6.3804,2.4715,1.6881,11.11
101,-624.5916,250.0,-0.004872,15344.177734,0.017890,7,16,4.6770,3.5661,1.7260,10.82
102,-773.3380,250.0,-0.009337,13893.666992,0.015494,16,16,4.1933,2.9785,1.7788,11.47
103,-766.7808,241.3,-0.008042,23942.273438,0.015093,14,16,9.8278,4.9550,1.4264,10.67
104,-789.1542,246.1,-0.006040,21491.742188,0.015398,9,17,14.4773,4.3557,1.6202,10.81
105,-804.0201,250.0,-0.009453,26599.748047,0.016343,7,16,5.2484,4.1637,1.6293,10.53
106,-986.6661,250.0,-0.006340,82153.734375,0.015748,7,16,8.0491,4.5068,1.7046,10.53
107,-814.9847,236.6,-0.014923,14744.662109,0.015027,30,17,10.4225,4.2634,1.5677,11.25
108,-531.2607,250.0,-0.008357,17008.992188,0.017700,8,16,4.3613,2.1751,1.8251,10.82
109,-679.0753,236.5,-0.009797,17473.761719,0.016395,14,16,5.5978,2.4457,1.6907,10.93
110,-698.2724,245.4,-0.007345,15691.074219,0.015323,8,16,10.6886,2.7382,1.6929,10.54
111,-697.3004,236.5,-0.007601,23364.685547,0.015752,13,18,6.6696,5.2465,1.5663,11.02
112,-723.4553,236.6,-0.005966,50694.625000,0.017265,7,17,5.5766,5.7578,1.7825,10.64
113,-967.8542,246.9,-0.006871,33555.246094,0.015553,9,16,9.8572,3.5341,1.5378,10.45
114,-740.3778,238.6,-0.006155,39613.113281,0.015508,6,18,11.7151,3.3904,1.6333,10.50
115,-752.0181,250.0,-0.006911,17906.410156,0.015838,8,16,5.7010,3.2324,1.8802,10.46
116,-633.1834,250.0,-0.004455,14901.914062,0.015580,7,16,5.2112,3.3899,1.5572,10.36
117,-731.2814,250.0,-0.008924,34703.191406,0.015022,6,16,5.6691,2.5638,1.6519,10.67
118,-705.1998,250.0,-0.006606,34033.843750,0.015993,9,16,5.9087,3.3001,1.6981,10.73
119,-728.7000,250.0,-0.007487,15444.606445,0.015248,19,16,4.2962,4.1120,1.5372,10.55
120,-850.9110,250.0,-0.009643,31186.451172,0.017065,8,16,6.2122,3.6345,1.9415,10.37
121,-807.1105,250.0,-0.007872,21746.611328,0.016752,8,16,5.3284,2.8624,1.6264,10.49
122,-548.2434,250.0,-0.017247,9871.412109,0.015111,62,16,3.6577,3.4222,1.7838,10.85
123,-840.1374,241.4,-0.007645,27335.080078,0.016332,9,17,7.0844,4.6185,1.5211,11.37
124,-541.9463,236.5,-0.017641,9795.261719,0.015035,73,17,6.9337,3.0834,1.6320,12.06
125,-664.0925,236.2,-0.008794,21108.748047,0.017278,9,17,5.6776,2.7617,1.6775,11.21
126,-769.0518,250.0,-0.006676,22746.802734,0.015411,11,16,4.6815,3.0201,1.7407,10.83
127,-590.9987,250.0,-0.019137,8051.988770,0.014651,80,16,3.1690,3.6889,1.8577,11.53
128,-808.6987,250.0,-0.014904,34760.328125,0.015310,40,16,5.2894,3.9220,1.4892,10.79
129,-749.4944,237.0,-0.008876,18648.060547,0.015124,19,16,5.3481,3.1929,1.4719,10.90
130,-714.6106,250.0,-0.014471,45594.484375,0.015039,46,16,4.4930,5.0004,1.7286,10.48
131,-861.9393,229.8,-0.006457,23686.910156,0.015088,8,18,8.7829,4.6090,1.5980,10.72
132,-524.6837,236.5,-0.006032,11293.132812,0.016281,8,17,4.6432,3.0087,1.7977,10.54
133,-629.9035,238.2,-0.006019,12406.335938,0.015342,8,17,5.6868,3.0101,1.7508,10.95
134,-781.3249,250.0,-0.014691,16217.419922,0.015021,27,16,5.7263,3.6284,1.4786,11.35
135,-509.0942,236.6,-0.005236,7480.852051,0.015738,10,17,5.2059,3.1625,1.8201,10.92
136,-630.5519,250.0,-0.004654,7528.495605,0.016043,9,16,3.5829,3.3935,1.9714,10.69
137,-477.4225,250.0,-0.005470,13567.447266,0.018642,6,16,5.5080,2.6189,1.6528,10.77
138,-573.8018,246.7,-0.007252,11564.503906,0.015283,13,16,8.6696,3.8893,1.8623,11.01
139,-837.2263,250.0,-0.019821,37329.289062,0.015028,69,16,4.6222,5.2888,1.6709,12.53
140,-620.1585,236.7,-0.018188,18224.324219,0.015051,61,17,5.1141,2.2302,1.8589,15.48
141,-756.4430,250.0,-0.013965,70410.828125,0.015865,9,16,4.5452,2.5477,1.7097,14.67
142,-546.8312,250.0,-0.015184,10696.933594,0.015012,49,16,3.7127,2.9452,1.5824,15.03
143,-668.3349,250.0,-0.009780,25132.992188,0.016466,7,16,6.5854,2.9149,1.7220,14.44
144,-782.1242,250.0,-0.006035,24810.724609,0.017918,6,16,5.8853,3.8340,1.6773,14.29
145,-655.7630,250.0,-0.010935,22248.556641,0.016602,7,16,4.4648,3.4177,1.8859,14.57
146,-644.9988,250.0,-0.006765,37769.617188,0.015576,9,16,4.1710,5.8989,1.6681,14.54
147,-511.9339,227.6,-0.007453,6784.854004,0.015652,7,17,8.1200,2.7945,1.8242,14.20
148,-821.5975,236.6,-0.005190,60419.515625,0.015481,9,17,5.8348,6.3803,1.9913,13.93
149,-746.4041,250.0,-0.008025,14487.887695,0.018281,7,16,4.0957,3.8934,1.6948,14.30
150,-740.8503,250.0,-0.003316,26971.300781,0.017670,5,16,5.3494,3.3622,1.9928,14.09
151,-695.4848,250.0,-0.011602,11336.419922,0.015058,29,16,3.7588,3.8173,2.2880,14.58
152,-749.7650,240.2,-0.006811,18450.273438,0.015824,7,17,7.8383,4.3336,1.6233,13.88
153,-722.8411,249.9,-0.006568,37530.492188,0.016020,7,16,6.8618,2.9313,1.7953,14.39
154,-760.9083,250.0,-0.005812,19817.498047,0.015167,10,16,5.8240,3.0274,1.7480,15.43
155,-872.8433,237.4,-0.007819,60219.546875,0.016033,7,17,9.3738,5.7588,1.7240,14.67
156,-611.2525,237.8,-0.004680,22482.914062,0.015947,7,17,5.7681,3.9096,1.6396,14.26
157,-753.3925,231.9,-0.005313,45663.355469,0.017633,7,17,7.7769,6.0369,1.9222,14.67
158,-1017.2047,231.1,-0.008246,51529.003906,0.017724,8,18,17.3533,4.2753,1.7903,15.25
159,-814.8895,244.5,-0.007294,17931.679688,0.017655,9,16,6.6066,4.0093,2.2307,14.10
160,-651.2119,244.2,-0.007068,24032.527344,0.015782,7,16,5.6077,3.0384,1.8748,14.39
161,-696.0327,250.0,-0.016087,12509.798828,0.015060,45,16,5.0253,3.1157,1.6569,14.29
162,-541.6962,238.4,-0.007700,8816.356445,0.015075,13,16,5.3249,3.0606,1.9197,16.50
163,-748.3137,250.0,-0.009228,51236.457031,0.017732,7,16,6.2346,4.5707,1.7839,15.25
164,-903.6291,250.0,-0.009249,28490.123047,0.015208,17,16,5.8921,3.3270,1.8986,14.33
165,-851.0303,250.0,-0.009333,55905.718750,0.015407,7,16,6.4098,2.9634,1.8112,15.79
166,-746.4656,250.0,-0.008118,54072.476562,0.015432,6,16,7.8717,2.4123,1.9067,14.81
167,-746.8876,243.5,-0.006125,28385.853516,0.017234,7,17,7.9106,3.7316,1.4721,15.96
168,-741.1219,236.6,-0.004651,13486.209961,0.015044,8,17,6.0559,4.3617,2.0566,16.10
169,-676.4815,250.0,-0.013888,12655.166992,0.015128,43,16,4.4555,3.3162,1.9446,16.62
170,-570.7537,250.0,-0.018054,8217.274414,0.015069,59,16,5.8051,3.4214,1.8945,18.02
171,-816.9630,250.0,-0.007179,44803.382812,0.016693,6,16,6.1533,3.2248,1.6924,20.30
172,-795.6451,250.0,-0.005981,45469.328125,0.016025,7,16,6.5883,3.5414,1.6564,19.00
173,-648.9321,250.0,-0.006364,14879.410156,0.015747,10,16,4.5919,2.5206,1.5767,16.28
174,-457.5409,250.0,-0.005251,14137.944336,0.016084,7,16,2.5212,3.6784,1.4222,16.26
175,-829.3351,242.1,-0.005050,42167.546875,0.018201,5,16,8.3406,3.6944,1.7504,18.52
176,-755.6501,250.0,-0.013351,68871.257812,0.015067,31,16,3.6992,7.1158,1.9735,16.65
177,-1011.6682,246.4,-0.005470,27248.591797,0.015283,8,16,11.4526,4.4664,1.7648,16.99
178,-754.4661,250.0,-0.010087,45326.167969,0.018776,6,16,6.6932,2.7945,2.0978,18.02
179,-561.2379,250.0,-0.005048,10200.172852,0.015637,6,16,3.6068,2.9136,1.3772,19.95
180,-706.3126,250.0,-0.005107,17438.890625,0.015783,7,16,4.1753,3.7842,1.6383,18.50
181,-778.0434,239.1,-0.005854,24317.203125,0.016530,8,16,5.6805,3.6313,1.8202,19.42
182,-899.0783,249.2,-0.005315,58528.125000,0.016609,6,16,8.2021,3.1406,1.7158,18.79
183,-613.5870,250.0,-0.006683,11359.242188,0.015013,13,16,4.3269,2.5145,1.7081,17.99
184,-582.5852,239.4,-0.012604,13541.406250,0.015557,26,16,5.9625,4.0671,1.2980,18.38
185,-715.9137,250.0,-0.009009,11668.209961,0.015160,15,16,4.0592,4.2985,1.7319,17.83
186,-739.1737,250.0,-0.005140,9709.665039,0.015810,7,16,3.3325,4.1192,1.4647,19.33
187,-593.9195,250.0,-0.007481,29067.542969,0.016720,8,16,5.1879,2.3426,1.4386,19.02
188,-439.9200,236.6,-0.005377,13379.115234,0.015610,7,17,5.8932,2.7422,1.7607,18.01
189,-817.5841,250.0,-0.004519,57012.617188,0.016460,6,16,6.0175,5.4164,1.8887,19.49
190,-904.7516,243.8,-0.007703,23164.396484,0.016899,8,16,5.5460,4.0789,1.8352,16.13
191,-723.3740,250.0,-0.015699,31225.101562,0.015626,13,16,5.2633,3.5361,1.5338,12.61
192,-906.2779,250.0,-0.007716,86301.953125,0.017744,6,16,6.9451,5.5184,1.7678,10.89
193,-469.2316,250.0,-0.008010,14427.369141,0.015408,14,16,3.9437,1.9012,1.5169,11.11
194,-737.0161,241.4,-0.009126,17265.849609,0.015399,16,16,5.8000,3.8504,1.8331,10.73
195,-706.1893,250.0,-0.005346,10283.093750,0.015011,9,16,3.9379,3.3827,1.5985,10.80
196,-517.1567,250.0,-0.003748,12750.000000,0.016102,7,16,4.0674,2.9417,1.7326,10.73
197,-696.6274,250.0,-0.012727,9293.419922,0.015184,31,16,4.0600,2.6569,2.1800,10.82
198,-595.2131,239.7,-0.011160,12966.101562,0.015437,15,17,13.1577,3.5367,1.8295,10.72
199,-504.8613,250.0,-0.018881,9525.073242,0.015042,60,16,3.0943,3.5516,1.2774,10.87
200,-658.3164,250.0,-0.016164,6089.194824,0.015063,53,16,3.0495,3.0096,1.6600,11.58
