t,f_ext_x,f_ext_y,f_ext_z,f_ext_phi,f_ext_motion_0,f_ext_motion_1,f_ext_motion_2,f_ext_motion_3,f_ext_motion_4,tau_v_0,tau_v_1,tau_v_2,tau_v_3,tau_v_4,tau_v_5,tau_v_6,tau_x_0,tau_x_1,tau_x_2,tau_x_3,tau_x_4,tau_x_5,tau_x_6,tau_phi_0,tau_phi_1,tau_phi_2,tau_phi_3,tau_phi_4,tau_phi_5,tau_phi_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
4.670000000000000262e-01,1.004730444794451616e+00,-6.542942976549523948e-01,-3.153848788875240672e+00,-2.952424320286209714e+00,1.004730444794451616e+00,1.287654396185608396e+00,-6.002115674022158176e-01,1.883751015611703661e+00,-5.035361888134549657e-01,7.141210031455378360e-01,1.567124751700323115e-01,1.050597775968258041e-01,-1.227227611576752787e-02,2.084590247268829355e-01,1.340004155182402713e-02,-1.204139767846735820e-01,2.900940079586754372e+00,2.065498631172737021e+00,-2.823044387829038993e-01,1.724530358246841200e+00,-1.105725052295354782e+00,-7.480086417813055499e-01,7.777745952648621452e-01,-1.846848052993923517e+00,2.903812501795170142e+00,-1.626074926158090239e+00,-1.733408912365470345e+00,1.614432138088771340e-01,-6.516658205445337027e-01,-7.572825854715395147e-17,1.768213029738368691e+00,5.126023608137939114e+00,-1.803319587344168307e+00,-2.115083023439667809e-02,-7.358228137595946849e-01,-1.386274420774015192e+00,6.573606184801884522e-01
4.680000000000000271e-01,9.009862763113971607e-01,-4.400237864000901000e-01,-3.029118232134676791e+00,-2.724853436206569501e+00,9.009862763113971607e-01,1.394400210858358413e+00,-6.944624070319564968e-01,1.788017700560234013e+00,-4.048372129060467950e-01,5.753754844822690506e-01,1.267915490576536630e-01,8.460867302156760417e-02,-1.008692729752997189e-02,1.678660630861782965e-01,1.084493941077133150e-02,-9.695326729019954071e-02,2.931904265967296475e+00,2.114185131646228122e+00,-1.743677322043809541e-01,1.564566032157049369e+00,-1.112184195999990743e+00,-7.494628504770438626e-01,7.532273258750393774e-01,-1.857567769188100293e+00,2.913594764616980637e+00,-1.634838535941174564e+00,-1.740585988103568127e+00,1.620185153721550586e-01,-6.545622433065805268e-01,1.396544979882445181e-16,1.649711981261465343e+00,5.154571445320861756e+00,-1.724597595123988025e+00,-1.861068832440487264e-01,-7.822996175416574438e-01,-1.393180154372853030e+00,6.562740585848398922e-01
4.690000000000000280e-01,7.825927747546224111e-01,-2.047732526166068379e-01,-2.911366247698262466e+00,-2.490405291470313642e+00,7.825927747546224111e-01,1.521797291836369359e+00,-7.917597644198595130e-01,1.693184234067065974e+00,-2.949833580394159993e-01,5.651182823997815685e-01,1.250001409562130350e-01,8.305055653844181651e-02,-1.009258592247782443e-02,1.647818133809642316e-01,1.069672779562865633e-02,-9.515990006104761700e-02,2.910953753763516616e+00,2.114823808661653537e+00,-1.896734274746123550e-01,1.535562921988583573e+00,-1.106467917311741989e+00,-7.477484689374715998e-01,7.560212500186865858e-01,-1.863943962275588229e+00,2.916195390341148830e+00,-1.640020513178460870e+00,-1.743497004590074173e+00,1.622545342534509327e-01,-6.558514661990620942e-01,-2.163372060512154987e-16,1.612128073887709956e+00,5.156019339959015291e+00,-1.746643384114631381e+00,-2.180266685239684310e-01,-7.794315696773268520e-01,-1.392903207340905114e+00,6.608613499576387884e-01
4.700000000000000289e-01,6.535480199992754757e-01,2.511194575817687902e-02,-2.812279536798906854e+00,-2.273246664402645223e+00,6.535480199992754757e-01,1.655867266932915305e+00,-8.845145616637446473e-01,1.605934149923527343e+00,-1.858581458196654213e-01,5.725593675470235233e-01,1.271786520959314326e-01,8.409234380888649940e-02,-1.043827044589235725e-02,1.668472706060324384e-01,1.088946878758525680e-02,-9.633887553207147458e-02,2.844919467868395557e+00,2.069735384742789286e+00,-2.428117994177602657e-01,1.595004989542798901e+00,-1.084516592530248680e+00,-7.476568685775898393e-01,7.572821354292820217e-01,-1.878354882933907621e+00,2.929367827593639007e+00,-1.652399838801134058e+00,-1.753022282731898196e+00,1.631724466712657085e-01,-6.596730259791868667e-01,-7.624744161395828297e-17,1.539123952481511459e+00,5.126281864432360003e+00,-1.811119294410007852e+00,-1.684555636349916452e-01,-7.544968752529505052e-01,-1.396440425769191362e+00,6.609432598972104778e-01
4.710000000000000298e-01,5.358418164154552521e-01,1.986686500178939108e-01,-2.733238462733138530e+00,-2.104820012641896554e+00,5.358418164154552521e-01,1.754934312458990675e+00,-9.575159107502755340e-01,1.532638307481518636e+00,-1.019380482974832219e-01,4.138348260336245366e-01,9.233040019407312560e-02,6.073680072985648826e-02,-7.705955648852314335e-03,1.205148124395537396e-01,7.910156693956688773e-03,-6.957564388217536699e-02,2.786580055114515453e+00,2.006474477759091712e+00,-2.818065454044692553e-01,1.720186964898029469e+00,-1.060804087827570630e+00,-7.466605665536714120e-01,7.543891915432590078e-01,-1.909251371119405238e+00,2.968381849625379765e+00,-1.679125425289864859e+00,-1.778047961932724519e+00,1.654784214134477904e-01,-6.693375936588000785e-01,-2.216133956021870507e-16,1.291163510028734862e+00,5.067186727578544492e+00,-1.900195169964477682e+00,-6.556695268354736927e-02,-7.748108539745690582e-01,-1.408088003518514597e+00,6.848135476610833772e-01
4.720000000000000306e-01,4.459493965611955324e-01,3.060407910820391320e-01,-2.658406895986558105e+00,-1.980379321885882060e+00,4.459493965611955324e-01,1.799690510027160295e+00,-1.003750718030914646e+00,1.472014838975256756e+00,-4.880459575981495324e-02,4.342735770168741904e-01,9.703121375411477567e-02,6.372247954056450836e-02,-8.141974815731464754e-03,1.264385162421333142e-01,8.314431568192346203e-03,-7.299183638102862970e-02,2.807007437034178654e+00,1.990989579266409404e+00,-2.763097930655915024e-01,1.757175048720075683e+00,-1.072652889961782652e+00,-7.267780058536705834e-01,7.489525223435677947e-01,-1.948879226727277869e+00,3.027027130206402461e+00,-1.713809308211061255e+00,-1.813701660573477481e+00,1.687824713279094391e-01,-6.828432151358461155e-01,1.475019870974442236e-16,1.292401787323774975e+00,5.115047923226927473e+00,-1.926396621736088388e+00,-6.466858666913326281e-02,-7.774319023917398708e-01,-1.401306789421324250e+00,6.759606859625393316e-01
4.730000000000000315e-01,3.803317242245606300e-01,3.708288509308439451e-01,-2.574530301372977448e+00,-1.871452316438007468e+00,3.803317242245606300e-01,1.806484579693151016e+00,-1.029152811596193207e+00,1.415484490699374653e+00,-1.593901588253932022e-02,3.548450280255108780e-01,7.960538914724657467e-02,5.203603189608640989e-02,-6.774872280877148288e-03,1.032525045234923833e-01,6.823726709552861355e-03,-5.959870426559343154e-02,2.776642525124143113e+00,1.965770112517824852e+00,-2.942197409845131451e-01,1.827088939017713631e+00,-1.059763119002220311e+00,-7.357737303659970252e-01,7.470553886204518435e-01,-1.963350408293470739e+00,3.040953990451826794e+00,-1.726088417122781937e+00,-1.823647093377603667e+00,1.696862256337060004e-01,-6.868040167788238559e-01,-7.902353288824231230e-17,1.168137144856183252e+00,5.086329492116898443e+00,-1.968272126211208839e+00,-3.333026640767185189e-03,-7.868243888450219270e-01,-1.415754020435268101e+00,6.874566843548582940e-01
4.740000000000000324e-01,3.409770500523007231e-01,4.115348446480105449e-01,-2.499062302020410797e+00,-1.783950754905784031e+00,3.409770500523007231e-01,1.797830087024383516e+00,-1.037510902381628908e+00,1.372203248410319931e+00,5.053007937830839014e-03,2.335535844365164704e-01,5.259701540835706735e-02,3.422785251631306480e-02,-4.532962199197894913e-03,6.791948168290246057e-02,4.509530146056319258e-03,-3.919897300504666254e-02,2.788954611667468608e+00,1.980331673261118697e+00,-2.485360506276060311e-01,1.758443931173937935e+00,-1.064190329125474177e+00,-7.276769203680130138e-01,7.346963431692017377e-01,-1.982272963090939921e+00,3.063161020680899682e+00,-1.742102204676843069e+00,-1.838341216837865222e+00,1.709574685118351312e-01,-6.925194271006439584e-01,0.000000000000000000e+00,1.040235233013045102e+00,5.096089709350374974e+00,-1.956410402788135938e+00,-8.443024786312516849e-02,-8.253133789307365298e-01,-1.415686817322600710e+00,6.954973701641550266e-01
4.750000000000000333e-01,3.121079112110050069e-01,4.667535609945321906e-01,-2.454777485577172236e+00,-1.713118494958905114e+00,3.121079112110050069e-01,1.819070205524623951e+00,-1.039611487541160395e+00,1.348416070084484719e+00,3.285117244061296071e-02,1.986023888663965287e-01,4.492131550219445602e-02,2.908365889579608149e-02,-3.924471501727528136e-03,5.771589942751879920e-02,3.852024499146303183e-03,-3.330521495911165086e-02,2.849030032957577063e+00,2.051183649493552696e+00,-1.423979542083766980e-01,1.553326200251956779e+00,-1.082870293306173792e+00,-7.147258908346536543e-01,7.220191536488476114e-01,-1.991668455121529790e+00,3.070353127597121201e+00,-1.749510038941886725e+00,-1.844133098894429112e+00,1.713308701986669402e-01,-6.948864825057851080e-01,-2.311980825505682421e-16,1.055963966702443857e+00,5.166458092592868034e+00,-1.862824334254467251e+00,-2.947313701441998668e-01,-8.538235236799881500e-01,-1.405760348841292418e+00,6.887139386897357385e-01
4.760000000000000342e-01,2.700081384854869926e-01,6.003838744993188481e-01,-2.449588250173122095e+00,-1.628014174371434031e+00,2.700081384854869926e-01,1.926269254333550007e+00,-1.052753202574195690e+00,1.341918479293404243e+00,9.815103913334705110e-02,1.063161252437035409e-01,2.415785667489148136e-02,1.555617774225570571e-02,-2.139610177996745938e-03,3.087450421446856497e-02,2.071736024455908889e-03,-1.781353662537026039e-02,2.911723654205517597e+00,2.068179356256428569e+00,-4.469941528658533114e-02,1.524217201575545078e+00,-1.102186363796334945e+00,-6.981460701762942644e-01,6.998983815004153897e-01,-2.029590093395532868e+00,3.122223975596423173e+00,-1.781723067777356340e+00,-1.876680117426485328e+00,1.741031570001442541e-01,-7.073414060460849750e-01,0.000000000000000000e+00,9.884496860536882146e-01,5.214561188527743418e+00,-1.810866305321686021e+00,-3.546025260289369929e-01,-8.972087025817221395e-01,-1.403415740197923256e+00,6.820848448750451709e-01
4.770000000000000351e-01,2.146826017556183741e-01,8.377641124406637330e-01,-2.473139713451348420e+00,-1.506402677022529168e+00,2.146826017556183741e-01,2.132843108389144593e+00,-1.083198820751439140e+00,1.348308431000296848e+00,2.124251231454747368e-01,-2.717781223230852916e-02,-6.184951237240832178e-03,-3.975728585719616459e-03,5.503121624575620097e-04,-7.890692448633621070e-03,-5.304402955288679486e-04,4.552427157784061373e-03,2.888393765999822893e+00,2.023951380304271019e+00,-3.345952594000128899e-02,1.583861908496084769e+00,-1.087992333359877994e+00,-6.850133762032882823e-01,6.905369268370827873e-01,-2.050709530353035603e+00,3.152142060536842205e+00,-1.799954990461244186e+00,-1.895171823883677664e+00,1.757590215823249535e-01,-7.143845093704723759e-01,0.000000000000000000e+00,8.105064234144787605e-01,5.169908489603871615e+00,-1.837390244986965016e+00,-3.107596032251353502e-01,-9.201240042261866758e-01,-1.399928325869289392e+00,6.950893539948668209e-01
4.780000000000000360e-01,1.509749120058342386e-01,1.149613094172915462e+00,-2.518399321882159647e+00,-1.356360470606306379e+00,1.509749120058342386e-01,2.413344501832878741e+00,-1.127169748955568984e+00,1.362864244295827199e+00,3.618143444593358016e-01,-1.083003857400339220e-01,-2.474823325416515563e-02,-1.583065295313348247e-02,2.228000412132353364e-03,-3.142319420411442132e-02,-2.122519033658323319e-03,1.812668712230414841e-02,2.938763260256770149e+00,2.106063297198417672e+00,4.488522965006569443e-04,1.434771742801758121e+00,-1.111083747300824154e+00,-6.965920349683120127e-01,6.961542575468889771e-01,-2.012529316557237546e+00,3.086861301847089400e+00,-1.765553497145747608e+00,-1.857339797051430930e+00,1.720624516923918157e-01,-7.002794333094524148e-01,-1.536118554621898392e-16,8.179335579594986250e-01,5.168176365791341986e+00,-1.780935297802380468e+00,-4.203400538375404727e-01,-9.704444898125467178e-01,-1.398993987311422771e+00,7.142809446691930075e-01
4.790000000000000369e-01,8.470183099469399957e-02,1.503062705931831999e+00,-2.606850872773262218e+00,-1.216505354484893164e+00,8.470183099469399957e-02,2.752268826505039012e+00,-1.180711127968580465e+00,1.395995231361883082e+00,5.311012187270809370e-01,-2.429410107801094898e-01,-5.573509559791069157e-02,-3.548749722234832704e-02,5.071850985586027864e-03,-7.044673713972739171e-02,-4.779842945261409369e-03,4.063241432450772489e-02,2.932561950874766676e+00,2.106595275328914774e+00,4.654765116451892171e-02,1.388500945664645769e+00,-1.103422287372767929e+00,-6.937725636387352957e-01,6.836937861590723919e-01,-2.006685655388912526e+00,3.072522804148841935e+00,-1.759424662529781580e+00,-1.849917632213815111e+00,1.711423632524583793e-01,-6.976231301953125241e-01,-7.960843574387638240e-17,6.829352847057446052e-01,5.123382983879846364e+00,-1.748364508587610944e+00,-4.563448355635832954e-01,-1.002726661260036956e+00,-1.396175536779309168e+00,7.243262004835799850e-01
4.799999999999999822e-01,2.412280036161763147e-02,1.854427276720535200e+00,-2.754961855194105524e+00,-1.123798620379923729e+00,2.412280036161763147e-02,3.125026721334053903e+00,-1.237143184300208310e+00,1.455543391667038389e+00,6.998366146994046133e-01,-4.055961132978417871e-01,-9.345425372447564716e-02,-5.919897493026455432e-02,8.606654317212584365e-03,-1.175316397859103718e-01,-8.015052306380068825e-03,6.778015840274408121e-02,2.868958248648936227e+00,2.080303721076704804e+00,-1.135938102449030040e-02,1.416341272246931293e+00,-1.081777560211254929e+00,-7.025837819003728502e-01,6.915182812817097791e-01,-1.973994736515130022e+00,3.014789729035107335e+00,-1.730007778762307824e+00,-1.816756443788264619e+00,1.679371922682871832e-01,-6.852888295332024704e-01,2.291611905648372695e-16,4.893673988359644178e-01,5.001639196387336561e+00,-1.800566134717062727e+00,-3.918085172241207448e-01,-1.031372007728878160e+00,-1.395887663739955320e+00,7.592984396844540962e-01
4.809999999999999831e-01,-7.689456206859610066e-03,2.116904798241853847e+00,-2.955543036018199565e+00,-1.124385326648188910e+00,-7.689456206859610066e-03,3.457206704811458309e+00,-1.275940750933739043e+00,1.543797310680314228e+00,8.268145389534176104e-01,-5.701424374676831164e-01,-1.319559119190537588e-01,-8.313274496463551877e-02,1.230618469783513469e-02,-1.650875296172459317e-01,-1.131910556978420884e-02,9.519037381581393897e-02,2.763917410499252547e+00,2.004359759562086118e+00,-1.377968890754158737e-01,1.548904595587559996e+00,-1.050647211696559724e+00,-7.054626361121881795e-01,7.052182681361500727e-01,-1.948013641880833591e+00,2.966823478201808584e+00,-1.706569719897963466e+00,-1.789554716812696400e+00,1.653021416118212461e-01,-6.752134756409141625e-01,1.493867776246371744e-16,2.457613311507358400e-01,4.839227325844841054e+00,-1.927499353938014748e+00,-2.283439365273012833e-01,-1.050432599701984326e+00,-1.391995217322886447e+00,8.004086419519641504e-01
4.819999999999999840e-01,6.896374107262029374e-04,2.268269744503509600e+00,-3.187598979896718809e+00,-1.220275517634193951e+00,6.896374107262029374e-04,3.717090603083441192e+00,-1.290015757757092540e+00,1.655144220596294291e+00,9.009550873089037237e-01,-5.937833550139902661e-01,-1.376460916747999641e-01,-8.655436953441016101e-02,1.288795435664517527e-02,-1.718908031868150998e-01,-1.180657867666727069e-02,9.910796048786520152e-02,2.852109309495185929e+00,2.040700727201002707e+00,4.215375445106739338e-02,1.444898128830221395e+00,-1.065466248798592641e+00,-6.842231790598809482e-01,6.732230613048508783e-01,-1.974363779681461706e+00,3.005386322375960706e+00,-1.729162026294235099e+00,-1.813216148060627919e+00,1.673583685549696054e-01,-6.841902313419797599e-01,0.000000000000000000e+00,2.839621747997339574e-01,4.908440957902162616e+00,-1.773562641377577798e+00,-3.554300648737613311e-01,-1.069998683430438247e+00,-1.380219989078528053e+00,7.723310217927160659e-01
4.829999999999999849e-01,3.962369356625081857e-02,2.326652676786125085e+00,-3.439011345066043113e+00,-1.380155137096190199e+00,3.962369356625081857e-02,3.916029048339145113e+00,-1.286312075313628789e+00,1.779844752845783917e+00,9.307907025686597002e-01,-7.001745105842673844e-01,-1.629553724291781247e-01,-1.019638180336178285e-01,1.543107073932774818e-02,-2.025464534364347369e-01,-1.398114069212684843e-02,1.167661414276332243e-01,2.670559880884098014e+00,1.945000821345060027e+00,-2.038817210708935290e-01,1.625695324010921095e+00,-1.012817902727281449e+00,-7.090871342902876906e-01,7.120152649494538855e-01,-1.904644108842437733e+00,2.889599153496359651e+00,-1.667942851007708560e+00,-1.745265663512035603e+00,1.611292458077127898e-01,-6.587302437072375394e-01,2.211261754809652688e-16,6.574126145739289662e-02,4.671644602412241554e+00,-1.973788390112219737e+00,-1.041392687617867518e-01,-1.054235110356003258e+00,-1.381798518689652200e+00,8.287814063770873041e-01
4.839999999999999858e-01,1.303745620980985287e-01,2.212219743574975084e+00,-3.708600883563855977e+00,-1.658490041541256232e+00,1.303745620980985287e-01,3.987110167720730125e+00,-1.243787725547532697e+00,1.923904603625619991e+00,8.783956259690779422e-01,-8.420475578750525880e-01,-1.967138249202700639e-01,-1.225260173213389703e-01,1.881992381478842652e-02,-2.434338096383642513e-01,-1.688048868994801097e-02,1.403183224889959224e-01,2.582902471794550792e+00,1.892980289295610019e+00,-2.913255697131370558e-01,1.710858720484647932e+00,-9.801131071050365184e-01,-7.175879837467462607e-01,7.255397460943528998e-01,-1.873899140416422915e+00,2.835383983316401402e+00,-1.640622656299188575e+00,-1.714066702096617822e+00,1.582036330108836375e-01,-6.471156895305446577e-01,7.324265205268984528e-17,-1.330442264969247113e-01,4.531650447691741412e+00,-2.054474243333664685e+00,1.561194220281852951e-02,-1.065343283732516966e+00,-1.381584161967238877e+00,8.658580685833489055e-01
