18:25:42 - Time: 1752510342.160, current_contact_force: 0.0
18:25:42 - Time: 1752510342.165, current_contact_force: 0.0
18:25:42 - Time: 1752510342.169, current_contact_force: 0.0
18:25:42 - Time: 1752510342.171, current_contact_force: 0.0
18:25:42 - Time: 1752510342.179, current_contact_force: 0.0
18:25:42 - Time: 1752510342.182, current_contact_force: 0.0
18:25:42 - Time: 1752510342.186, current_contact_force: 0.0
18:25:42 - Time: 1752510342.192, current_contact_force: 0.0
18:25:42 - Time: 1752510342.197, current_contact_force: 0.0
18:25:42 - Time: 1752510342.201, current_contact_force: 0.0
18:25:42 - Time: 1752510342.203, current_contact_force: 0.0
18:25:42 - Time: 1752510342.205, current_contact_force: 0.0
18:25:42 - Time: 1752510342.208, current_contact_force: 0.0
18:25:42 - Time: 1752510342.211, current_contact_force: 0.0
18:25:42 - Time: 1752510342.216, current_contact_force: 0.0
18:25:42 - Time: 1752510342.221, current_contact_force: 0.0
18:25:42 - Time: 1752510342.225, current_contact_force: 0.0
18:25:42 - Time: 1752510342.233, current_contact_force: 0.0
18:25:42 - Time: 1752510342.237, current_contact_force: 0.0
18:25:42 - Time: 1752510342.247, current_contact_force: 0.0
18:25:42 - Time: 1752510342.250, current_contact_force: 0.0
18:25:42 - Time: 1752510342.257, current_contact_force: 0.0
18:25:42 - Time: 1752510342.261, current_contact_force: 0.0
18:25:42 - Time: 1752510342.263, current_contact_force: 0.0
18:25:42 - Time: 1752510342.267, current_contact_force: 0.0
18:25:42 - Time: 1752510342.271, current_contact_force: 0.0
18:25:42 - Time: 1752510342.274, current_contact_force: 0.0
18:25:42 - Time: 1752510342.277, current_contact_force: 0.0
18:25:42 - Time: 1752510342.281, current_contact_force: 0.0
18:25:42 - Time: 1752510342.285, current_contact_force: 0.0
18:25:42 - Time: 1752510342.290, current_contact_force: 0.0
18:25:42 - Time: 1752510342.293, current_contact_force: 0.0
18:25:42 - Time: 1752510342.295, current_contact_force: 0.0
18:25:42 - Time: 1752510342.304, current_contact_force: 0.0
18:25:42 - Time: 1752510342.309, current_contact_force: 0.0
18:25:42 - Time: 1752510342.313, current_contact_force: 0.9116952735227115
18:25:42 - Time: 1752510342.321, current_contact_force: 0.9150443135245091
18:25:42 - Time: 1752510342.324, current_contact_force: 0.930431802189737
18:25:42 - Time: 1752510342.327, current_contact_force: 0.9564215182764688
18:25:42 - Time: 1752510342.331, current_contact_force: 0.9916831482924382
18:25:42 - Time: 1752510342.335, current_contact_force: 1.0349834981090449
18:25:42 - Time: 1752510342.339, current_contact_force: 1.085179034550183
18:25:42 - Time: 1752510342.342, current_contact_force: 1.1412098800335793
18:25:42 - Time: 1752510342.347, current_contact_force: 1.2020949289435368
18:25:42 - Time: 1752510342.350, current_contact_force: 1.2669278044067895
18:25:42 - Time: 1752510342.354, current_contact_force: 1.334873423034006
18:25:42 - Time: 1752510342.358, current_contact_force: 1.4051649783897386
18:25:42 - Time: 1752510342.367, current_contact_force: 1.477101192119733
18:25:42 - Time: 1752510342.373, current_contact_force: 1.5500437152246394
18:25:42 - Time: 1752510342.380, current_contact_force: 1.6234145912879479
18:25:42 - Time: 1752510342.385, current_contact_force: 1.6966937187941165
18:25:42 - Time: 1752510342.390, current_contact_force: 1.769416271223298
18:25:42 - Time: 1752510342.393, current_contact_force: 1.8411700516223926
18:25:42 - Time: 1752510342.397, current_contact_force: 1.9115927730146793
18:25:42 - Time: 1752510342.402, current_contact_force: 1.9803692675930107
18:25:42 - Time: 1752510342.406, current_contact_force: 2.0472286364068286
18:25:42 - Time: 1752510342.409, current_contact_force: 2.111941357473972
18:25:42 - Time: 1752510342.414, current_contact_force: 2.174316374272794
18:25:42 - Time: 1752510342.417, current_contact_force: 2.2341981886634534
18:25:42 - Time: 1752510342.426, current_contact_force: 2.291463982814027
18:25:42 - Time: 1752510342.429, current_contact_force: 2.346020793974972
18:25:42 - Time: 1752510342.433, current_contact_force: 2.397802764190691
18:25:42 - Time: 1752510342.437, current_contact_force: 2.446768484638885
18:25:42 - Time: 1752510342.444, current_contact_force: 2.492898451374598
18:25:42 - Time: 1752510342.452, current_contact_force: 2.5361926461270454
18:25:42 - Time: 1752510342.457, current_contact_force: 2.5766682525728464
18:25:42 - Time: 1752510342.461, current_contact_force: 2.614357515371216
18:25:42 - Time: 1752510342.465, current_contact_force: 2.6493057462826757
18:25:42 - Time: 1752510342.467, current_contact_force: 2.681569478989906
18:25:42 - Time: 1752510342.471, current_contact_force: 2.7112147718468393
18:25:42 - Time: 1752510342.475, current_contact_force: 2.7383156557590986
18:25:42 - Time: 1752510342.478, current_contact_force: 2.762952722686593
18:25:42 - Time: 1752510342.482, current_contact_force: 2.785211848933221
18:25:42 - Time: 1752510342.493, current_contact_force: 2.8051830463834295
18:25:42 - Time: 1752510342.497, current_contact_force: 2.8229594341172213
18:25:42 - Time: 1752510342.505, current_contact_force: 2.838636322412734
18:25:42 - Time: 1752510342.510, current_contact_force: 2.8523104009379416
18:25:42 - Time: 1752510342.516, current_contact_force: 2.864079022909114
18:25:42 - Time: 1752510342.519, current_contact_force: 2.8740395771561373
18:25:42 - Time: 1752510342.524, current_contact_force: 2.8822889403049925
18:25:42 - Time: 1752510342.527, current_contact_force: 2.888923001648758
18:25:42 - Time: 1752510342.530, current_contact_force: 2.894036253718082
18:25:42 - Time: 1752510342.532, current_contact_force: 2.8977214420348196
18:25:42 - Time: 1752510342.536, current_contact_force: 2.9000692680221523
18:25:42 - Time: 1752510342.539, current_contact_force: 2.901168139543397
18:25:42 - Time: 1752510342.547, current_contact_force: 2.9011039640433802
18:25:42 - Time: 1752510342.551, current_contact_force: 2.8999599797144584
18:25:42 - Time: 1752510342.554, current_contact_force: 2.8978166205676184
18:25:42 - Time: 1752510342.563, current_contact_force: 2.8947514117061095
18:25:42 - Time: 1752510342.567, current_contact_force: 2.8908388914546768
18:25:42 - Time: 1752510342.571, current_contact_force: 2.8861505573741657
18:25:42 - Time: 1752510342.573, current_contact_force: 2.880754833469311
18:25:42 - Time: 1752510342.577, current_contact_force: 2.87471705619948
18:25:42 - Time: 1752510342.580, current_contact_force: 2.8680994771259716
18:25:42 - Time: 1752510342.587, current_contact_force: 2.86096128026744
18:25:42 - Time: 1752510342.589, current_contact_force: 2.853358612404323
18:25:42 - Time: 1752510342.592, current_contact_force: 2.8453446247620215
18:25:42 - Time: 1752510342.595, current_contact_force: 2.8369695246234845
18:25:42 - Time: 1752510342.600, current_contact_force: 2.8282806355909664
18:25:42 - Time: 1752510342.605, current_contact_force: 2.819322465279452
18:25:42 - Time: 1752510342.613, current_contact_force: 2.81013677937325
18:25:42 - Time: 1752510342.616, current_contact_force: 2.8007626810433615
18:25:42 - Time: 1752510342.622, current_contact_force: 2.791236694809195
18:25:42 - Time: 1752510342.629, current_contact_force: 2.781592854002528
18:25:42 - Time: 1752510342.632, current_contact_force: 2.7718627910690596
18:25:42 - Time: 1752510342.636, current_contact_force: 2.762075829993578
18:25:42 - Time: 1752510342.640, current_contact_force: 2.7522590801960236
18:25:42 - Time: 1752510342.645, current_contact_force: 2.7424375313155807
18:25:42 - Time: 1752510342.649, current_contact_force: 2.7326341483305256
18:25:42 - Time: 1752510342.653, current_contact_force: 2.7228699665301783
18:25:42 - Time: 1752510342.656, current_contact_force: 2.7131641858878752
18:25:42 - Time: 1752510342.659, current_contact_force: 2.7035342644456373
18:25:42 - Time: 1752510342.663, current_contact_force: 2.693996010343292
18:25:42 - Time: 1752510342.665, current_contact_force: 2.6845636721912713
18:25:42 - Time: 1752510342.670, current_contact_force: 2.6752500274907285
18:25:42 - Time: 1752510342.678, current_contact_force: 2.666066468888041
18:25:42 - Time: 1752510342.682, current_contact_force: 2.657023088041419
18:25:42 - Time: 1752510342.692, current_contact_force: 2.6481287569303515
18:25:42 - Time: 1752510342.697, current_contact_force: 2.639391206470932
18:25:42 - Time: 1752510342.703, current_contact_force: 2.630817102331925
18:25:42 - Time: 1752510342.705, current_contact_force: 2.6224121178515025
18:25:42 - Time: 1752510342.710, current_contact_force: 2.6141810040029347
18:25:42 - Time: 1752510342.714, current_contact_force: 2.606127656375904
18:25:42 - Time: 1752510342.718, current_contact_force: 2.5982551791381323
18:25:42 - Time: 1752510342.722, current_contact_force: 2.5905659459979575
18:25:42 - Time: 1752510342.727, current_contact_force: 2.583061658177085
18:25:42 - Time: 1752510342.733, current_contact_force: 2.5757433994129015
18:25:42 - Time: 1752510342.735, current_contact_force: 2.5686116880594176
18:25:42 - Time: 1752510342.742, current_contact_force: 2.5616665263201397
18:25:42 - Time: 1752510342.746, current_contact_force: 2.5549074466916415
18:25:42 - Time: 1752510342.749, current_contact_force: 2.548333555692277
18:25:42 - Time: 1752510342.757, current_contact_force: 2.541943574943486
18:25:42 - Time: 1752510342.759, current_contact_force: 2.535735879708358
18:25:42 - Time: 1752510342.763, current_contact_force: 2.5297085349627357
18:25:42 - Time: 1752510342.766, current_contact_force: 2.5238593291029137
18:25:42 - Time: 1752510342.773, current_contact_force: 2.5181858053813233
18:25:42 - Time: 1752510342.777, current_contact_force: 2.512685291172992
18:25:42 - Time: 1752510342.781, current_contact_force: 2.507354925158086
18:25:42 - Time: 1752510342.783, current_contact_force: 2.502191682543845
18:25:42 - Time: 1752510342.787, current_contact_force: 2.497192398395274
18:25:42 - Time: 1752510342.789, current_contact_force: 2.492353789195072
18:25:42 - Time: 1752510342.797, current_contact_force: 2.487672472710464
18:25:42 - Time: 1752510342.804, current_contact_force: 2.4831449862738038
18:25:42 - Time: 1752510342.807, current_contact_force: 2.4787678035593173
18:25:42 - Time: 1752510342.817, current_contact_force: 2.4745373499446917
18:25:42 - Time: 1752510342.820, current_contact_force: 2.4704500165491967
18:25:42 - Time: 1752510342.826, current_contact_force: 2.4665021730205057
18:25:42 - Time: 1752510342.829, current_contact_force: 2.4626901791611213
18:25:42 - Time: 1752510342.833, current_contact_force: 2.4590103954611955
18:25:42 - Time: 1752510342.836, current_contact_force: 2.45545919261226
18:25:42 - Time: 1752510342.839, current_contact_force: 2.4520329600767203
18:25:42 - Time: 1752510342.843, current_contact_force: 2.448728113772139
18:25:42 - Time: 1752510342.847, current_contact_force: 2.4455411029370167
18:25:42 - Time: 1752510342.851, current_contact_force: 2.44246841623516
18:25:42 - Time: 1752510342.854, current_contact_force: 2.439506587159322
18:25:42 - Time: 1752510342.864, current_contact_force: 2.436652198779843
18:25:42 - Time: 1752510342.867, current_contact_force: 2.4339018878983585
18:25:42 - Time: 1752510342.873, current_contact_force: 2.431252348641899
18:25:42 - Time: 1752510342.879, current_contact_force: 2.4287003355538834
18:25:42 - Time: 1752510342.882, current_contact_force: 2.4262426662128296
18:25:42 - Time: 1752510342.885, current_contact_force: 2.423876223427186
18:25:42 - Time: 1752510342.887, current_contact_force: 2.421597957032864
18:25:42 - Time: 1752510342.891, current_contact_force: 2.419404885338934
18:25:42 - Time: 1752510342.894, current_contact_force: 2.4172940962399942
18:25:42 - Time: 1752510342.898, current_contact_force: 2.415262748040095
18:25:42 - Time: 1752510342.902, current_contact_force: 2.4133080699973046
18:25:42 - Time: 1752510342.906, current_contact_force: 2.41142736263587
18:25:42 - Time: 1752510342.910, current_contact_force: 2.4096179978268726
18:25:42 - Time: 1752510342.913, current_contact_force: 2.4078774186810126
18:25:42 - Time: 1752510342.916, current_contact_force: 2.4062031392557497
18:25:42 - Time: 1752510342.924, current_contact_force: 2.404592744107414
18:25:42 - Time: 1752510342.929, current_contact_force: 2.4030438877023657
18:25:42 - Time: 1752510342.936, current_contact_force: 2.401554293697558
18:25:42 - Time: 1752510342.943, current_contact_force: 2.4001217541160456
18:25:42 - Time: 1752510342.945, current_contact_force: 2.39874412841852
18:25:42 - Time: 1752510342.949, current_contact_force: 2.3974193424959687
18:25:42 - Time: 1752510342.953, current_contact_force: 2.396145387584345
18:25:42 - Time: 1752510342.958, current_contact_force: 2.3949203191156565
18:25:42 - Time: 1752510342.963, current_contact_force: 2.393742255518417
18:25:42 - Time: 1752510342.966, current_contact_force: 2.392609376968344
18:25:42 - Time: 1752510342.970, current_contact_force: 2.3915199241045757
18:25:42 - Time: 1752510342.972, current_contact_force: 2.390472196716108
18:25:42 - Time: 1752510342.975, current_contact_force: 2.38946455240302
18:25:42 - Time: 1752510342.977, current_contact_force: 2.388495405219744
18:25:42 - Time: 1752510342.982, current_contact_force: 2.3875632243075304
18:25:42 - Time: 1752510342.985, current_contact_force: 2.386666532518089
18:25:42 - Time: 1752510342.993, current_contact_force: 2.385803905033937
18:25:42 - Time: 1752510342.996, current_contact_force: 2.384973967991327
18:25:43 - Time: 1752510343.007, current_contact_force: 2.384175397105847
18:25:43 - Time: 1752510343.014, current_contact_force: 2.3834069163045233
18:25:43 - Time: 1752510343.019, current_contact_force: 2.3826672963709474
18:25:43 - Time: 1752510343.024, current_contact_force: 2.381955353599737
18:25:43 - Time: 1752510343.029, current_contact_force: 2.381269948469441
18:25:43 - Time: 1752510343.031, current_contact_force: 2.3806099843276414
18:25:43 - Time: 1752510343.034, current_contact_force: 2.3799744061000574
18:25:43 - Time: 1752510343.037, current_contact_force: 2.379362199014823
18:25:43 - Time: 1752510343.040, current_contact_force: 2.3787723873497972
18:25:43 - Time: 1752510343.043, current_contact_force: 2.378204033202225
18:25:43 - Time: 1752510343.046, current_contact_force: 2.377656235282485
18:25:43 - Time: 1752510343.048, current_contact_force: 2.3771281277279552
18:25:43 - Time: 1752510343.052, current_contact_force: 2.3766188789466756
18:25:43 - Time: 1752510343.054, current_contact_force: 2.376127690482625
18:25:43 - Time: 1752510343.059, current_contact_force: 2.3756537959059076
18:25:43 - Time: 1752510343.067, current_contact_force: 2.3751964597308795
18:25:43 - Time: 1752510343.069, current_contact_force: 2.3747549763593367
18:25:43 - Time: 1752510343.076, current_contact_force: 2.3743286690483183
18:25:43 - Time: 1752510343.081, current_contact_force: 2.373916888905511
18:25:43 - Time: 1752510343.083, current_contact_force: 2.3735190139099953
18:25:43 - Time: 1752510343.086, current_contact_force: 2.373134447958083
18:25:43 - Time: 1752510343.089, current_contact_force: 2.3727626199365806
18:25:43 - Time: 1752510343.091, current_contact_force: 2.3724029828194886
18:25:43 - Time: 1752510343.093, current_contact_force: 2.3720550127912987
18:25:43 - Time: 1752510343.098, current_contact_force: 2.3717182083949027
18:25:43 - Time: 1752510343.102, current_contact_force: 2.3713920897033196
18:25:43 - Time: 1752510343.105, current_contact_force: 2.3710761975155563
18:25:43 - Time: 1752510343.110, current_contact_force: 2.3707700925811612
18:25:43 - Time: 1752510343.113, current_contact_force: 2.370473354840161
18:25:43 - Time: 1752510343.117, current_contact_force: 2.3701855826898224
18:25:43 - Time: 1752510343.119, current_contact_force: 2.369906392279814
18:25:43 - Time: 1752510343.123, current_contact_force: 2.3696354168174096
18:25:43 - Time: 1752510343.131, current_contact_force: 2.3693723059067486
18:25:43 - Time: 1752510343.136, current_contact_force: 2.3691167249025313
18:25:43 - Time: 1752510343.144, current_contact_force: 2.368868354283724
18:25:43 - Time: 1752510343.147, current_contact_force: 2.368626889054981
