t,f_ext_x,f_ext_y,f_ext_z,f_ext_phi,f_ext_motion_0,f_ext_motion_1,f_ext_motion_2,f_ext_motion_3,f_ext_motion_4,tau_v_0,tau_v_1,tau_v_2,tau_v_3,tau_v_4,tau_v_5,tau_v_6,tau_x_0,tau_x_1,tau_x_2,tau_x_3,tau_x_4,tau_x_5,tau_x_6,tau_phi_0,tau_phi_1,tau_phi_2,tau_phi_3,tau_phi_4,tau_phi_5,tau_phi_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
8.000000000000000167e-02,-1.220829618783389803e+00,-7.501917156511868079e-01,-8.790429145368106489e+00,-8.798238630800106819e+00,-1.220829618783389803e+00,-6.522493123533367188e-01,1.621588537459410562e+00,3.980055406350323288e+00,1.618759453196894071e-03,-1.911688724846875242e+00,-1.861754621357354089e-01,-2.553240230218778439e-01,-1.282686006831045000e-01,-5.790174768149130013e-01,-6.490646100760635384e-04,3.406950658553793976e-01,8.418123199940323875e-01,-3.633474344052709526e-01,2.251303802434982515e+00,-9.632164855908734169e-02,-4.259753059357108684e-01,3.484369393867452203e-02,-1.054032121123881893e+00,-5.977219983238121759e-02,5.312780928154484883e+00,3.507142363362568682e-01,-2.721142011341890932e+00,-3.062073837629613118e-02,-9.947697357562702569e-01,0.000000000000000000e+00,-1.129648604685224100e+00,4.763258031613478494e+00,2.346694015749361206e+00,-2.945732260584082773e+00,-1.035613521126919956e+00,-9.605751064276718543e-01,-7.133370552685025512e-01
8.100000000000000255e-02,-1.233028775377422948e+00,-8.297869940656665833e-01,-8.861083163583886702e+00,-8.870030244787917795e+00,-1.233028775377422948e+00,-7.279455639111453991e-01,1.668585815926293625e+00,4.014188907874278733e+00,-2.773716911005369434e-02,-1.901216834831716440e+00,-1.848656561815614774e-01,-2.539376835173286495e-01,-1.274025756633412332e-01,-5.758385535102601427e-01,-6.806967353116424695e-04,3.388201021180225481e-01,8.977158167578445092e-01,-3.642960548422973233e-01,2.287584071404361374e+00,-7.406991034428848930e-02,-4.331436593919313349e-01,3.231326138707613094e-02,-1.040501714213667883e+00,-6.172547588697785415e-02,5.319399419487557346e+00,3.483403493884248969e-01,-2.724541858409187611e+00,-3.036176472099408330e-02,-9.959392921950401822e-01,0.000000000000000000e+00,-1.065226493960849785e+00,4.770237708463698212e+00,2.381986737275457511e+00,-2.926014344416817181e+00,-1.039343977623185644e+00,-9.643067275432757324e-01,-7.016816120956452796e-01
8.200000000000000344e-02,-1.240319519680333826e+00,-9.109533629468966609e-01,-8.943807761328946171e+00,-8.953789481005108186e+00,-1.240319519680333826e+00,-8.069617282835980232e-01,1.716236309392584758e+00,4.053329396318711808e+00,-5.777877581741769353e-02,-1.879727217280940277e+00,-1.826784524166327472e-01,-2.510733317775545315e-01,-1.259089641548287453e-01,-5.693272897658654408e-01,-6.845296118209024446e-04,3.349874589693864202e-01,8.646465632450663907e-01,-3.576051724922971742e-01,2.253026924505519890e+00,-8.843878721186812508e-02,-4.283098790722214000e-01,3.163289784965495760e-02,-1.041156409192164123e+00,-6.241660368314186358e-02,5.317315116998805991e+00,3.471652294948758266e-01,-2.723477628289011410e+00,-3.023803839693017109e-02,-9.955238140346280851e-01,-7.219784834999298801e-18,-1.077497257719015611e+00,4.777031492089875542e+00,2.349118822222841185e+00,-2.937825379655708335e+00,-1.027875207235017019e+00,-9.645754457967939954e-01,-7.061689502227777027e-01
8.300000000000000433e-02,-1.242072831553216794e+00,-9.910205198836403717e-01,-9.034501301874650281e+00,-9.045668461165147889e+00,-1.242072831553216794e+00,-8.832992330390292413e-01,1.764335469743119500e+00,4.096410174196488896e+00,-8.727574082567546299e-02,-1.774317780396735600e+00,-1.721858335449884814e-01,-2.369949729586030007e-01,-1.186991525910226636e-01,-5.373916940384906304e-01,-6.780826523612296965e-04,3.161926405872544921e-01,9.017008874856995426e-01,-3.660937307119456197e-01,2.273376997744116057e+00,-4.877417103354393657e-02,-4.373339221322696257e-01,2.963720411147764688e-02,-1.036126290808812689e+00,-6.413137849657071787e-02,5.328325512222390259e+00,3.454455860473439333e-01,-2.729140008733272893e+00,-3.004828727350907294e-02,-9.975237106562280243e-01,0.000000000000000000e+00,-9.367482714076067474e-01,4.790045947965456463e+00,2.381827610832856656e+00,-2.896613332357839798e+00,-1.004773903444269312e+00,-9.685645891971116361e-01,-7.199336502215581968e-01
8.400000000000000522e-02,-1.237300461548636044e+00,-1.067557426985882962e+00,-9.137163966974267026e+00,-9.149540405181395997e+00,-1.237300461548636044e+00,-9.556958685893170991e-01,1.811110415493445647e+00,4.145095659615828154e+00,-1.152642256016116473e-01,-1.760073637232738797e+00,-1.705672762774038953e-01,-2.350999623031020946e-01,-1.176135730572077376e-01,-5.330735342867074511e-01,-7.013531719702068923e-04,3.136483845437456064e-01,8.956415447546811626e-01,-3.480955401108429270e-01,2.255434493527614492e+00,-7.990440939762961936e-02,-4.356884739906271564e-01,2.598148246499515368e-02,-1.029287928447309097e+00,-6.559408531431289158e-02,5.308375287036683154e+00,3.416226520718180226e-01,-2.718962675493221681e+00,-2.966696703902863691e-02,-9.937346916481603065e-01,0.000000000000000000e+00,-9.300261777923705120e-01,4.789712470648436415e+00,2.361957183296330420e+00,-2.916480657948059108e+00,-9.984289753163633208e-01,-9.684545623551352733e-01,-7.156395439035634354e-01
8.500000000000000611e-02,-1.226351209693830491e+00,-1.138983612452712846e+00,-9.254443609492991385e+00,-9.268052014317811782e+00,-1.226351209693830491e+00,-1.022361017753051771e+00,1.855845201364014541e+00,4.200562436362330843e+00,-1.410525933771840101e-01,-1.722526412301305099e+00,-1.666719173166860413e-01,-2.300824277796054418e-01,-1.149505269675934055e-01,-5.216895951786379992e-01,-7.192121093648300156e-04,3.069459972687202387e-01,9.257074690921156535e-01,-3.469062547549132680e-01,2.269741027345278717e+00,-6.929229412505234775e-02,-4.391665981876711200e-01,2.554937842529028669e-02,-1.019028591925285276e+00,-6.749491988495329164e-02,5.307087129904029865e+00,3.386917309847473634e-01,-2.718343173459078166e+00,-2.935908872280305199e-02,-9.934262167772384133e-01,0.000000000000000000e+00,-8.643138630941427092e-01,4.793508957832431250e+00,2.378350330550420555e+00,-2.902585994551723836e+00,-9.902152820891121365e-01,-9.685960504613130295e-01,-7.120825946565649822e-01
8.600000000000000699e-02,-1.209307305475172400e+00,-1.202407205093216858e+00,-9.382671739615288331e+00,-9.397497811121391820e+00,-1.209307305475172400e+00,-1.080438313928243188e+00,1.897369853148657581e+00,4.261260463848665303e+00,-1.633749218428973138e-01,-1.646642972940360439e+00,-1.590620987113399165e-01,-2.199505024130520014e-01,-1.097314100289392691e-01,-4.986973318155227264e-01,-7.207127943074263451e-04,2.934137091765973149e-01,9.693951537722392819e-01,-3.552968645737656916e-01,2.292536861821974359e+00,-3.327594464323009593e-02,-4.461247675411690317e-01,2.735864856717495908e-02,-1.007821061198444168e+00,-6.974732093602672989e-02,5.317097210128167717e+00,3.361922588304083748e-01,-2.723493250813437960e+00,-2.908120390881578990e-02,-9.952251331394936784e-01,8.067637150490003196e-18,-7.469951401041479144e-01,4.802738246843062164e+00,2.408778618239330704e+00,-2.866500605485607256e+00,-9.739033032655075584e-01,-9.685871973666261292e-01,-7.144073520218467976e-01
8.700000000000000788e-02,-1.186799031750187527e+00,-1.255212117912142933e+00,-9.513810377558835185e+00,-9.529470707955846720e+00,-1.186799031750187527e+00,-1.130191748028255505e+00,1.934057921326006513e+00,4.323401275320442494e+00,-1.812179420462645130e-01,-1.613144091282801007e+00,-1.557401042555761062e-01,-2.154784818761387999e-01,-1.074488733538974533e-01,-4.885495426882616177e-01,-7.168448800541003503e-04,2.874417866658652843e-01,9.595809131929420310e-01,-3.452458222297581925e-01,2.284813953831271505e+00,-5.775590643701121463e-02,-4.440177383088774743e-01,2.568491532804788313e-02,-1.008212002690998421e+00,-7.023073316809676225e-02,5.296566663109462780e+00,3.338035286277599711e-01,-2.712992065840793110e+00,-2.885204737512823275e-02,-9.913586419556256191e-01,0.000000000000000000e+00,-7.237939112579557799e-01,4.795580736624128093e+00,2.403139000582892759e+00,-2.878196845631701528e+00,-9.614193283722674011e-01,-9.663905715076318570e-01,-7.207702160251331369e-01
8.799999999999999489e-02,-1.161083971006801940e+00,-1.301780565175683080e+00,-9.638231531166493227e+00,-9.654834041135639922e+00,-1.161083971006801940e+00,-1.172313663815941931e+00,1.967848191255118451e+00,4.383101275913739769e+00,-1.965250657267010315e-01,-1.595148556121575467e+00,-1.538117265997289707e-01,-2.130791026968811563e-01,-1.061341016958419481e-01,-4.830921888580834711e-01,-7.336906962075926113e-04,2.842276601727438123e-01,9.385440137692313556e-01,-3.509629894401684602e-01,2.262922351169685431e+00,-4.160224008832553999e-02,-4.410516797922648946e-01,2.661814355451783826e-02,-1.008919278310483669e+00,-7.177928080727423443e-02,5.296252214437525474e+00,3.314844420288550753e-01,-2.712848677203893111e+00,-2.860819125558914516e-02,-9.912441650739125532e-01,3.866245776700475576e-17,-7.283838231596183599e-01,4.791477498397627599e+00,2.381327690501659156e+00,-2.860585018988060391e+00,-9.527520599059375872e-01,-9.653597122156022392e-01,-7.246916181377398569e-01
8.899999999999999578e-02,-1.131635275357886217e+00,-1.347550248655041916e+00,-9.754913648379169189e+00,-9.772622473353093753e+00,-1.131635275357886217e+00,-1.212469361797871237e+00,2.000010701180644723e+00,4.439966429378083390e+00,-2.117855263912187258e-01,-1.512950934773749312e+00,-1.456259701483503810e-01,-2.021013720055592766e-01,-1.005124142210319371e-01,-4.581909619078436413e-01,-7.286768180918564526e-04,2.695727628860692948e-01,9.397552182647771479e-01,-3.528248446325477072e-01,2.239500757636023742e+00,-1.117848264521845159e-02,-4.443706268340656962e-01,2.339814261037437282e-02,-1.000919919903100697e+00,-7.390531274302197806e-02,5.290367857819631148e+00,3.278419213918488673e-01,-2.709873500883042130e+00,-2.823020799940906614e-02,-9.900706359910583787e-01,-8.548564299844242771e-18,-6.471010292519940865e-01,4.791917043038733226e+00,2.365241307022313499e+00,-2.821564397749292574e+00,-9.307917967413184002e-01,-9.674011701987759171e-01,-7.313471570170313463e-01
8.999999999999999667e-02,-1.096755316334401265e+00,-1.393348167902609847e+00,-9.865076304070749202e+00,-9.883839954002027639e+00,-1.096755316334401265e+00,-1.253338488122409444e+00,2.029874867983712861e+00,4.494649374509918083e+00,-2.274907105737052349e-01,-1.496004432128440920e+00,-1.437833309628472056e-01,-1.998493191601996843e-01,-9.925683396416766502e-02,-4.530550962457287612e-01,-7.485592732892673963e-04,2.665475748746291007e-01,9.420756795738847167e-01,-3.496902093217332808e-01,2.235894057643739607e+00,-1.290245910524782935e-02,-4.413326495533222982e-01,2.307954645486141182e-02,-9.933419026037941801e-01,-7.553659577182653129e-02,5.276230261509218700e+00,3.242589798611455465e-01,-2.702649024138754630e+00,-2.787077723024497869e-02,-9.873629576737823488e-01,-2.977404352882933623e-17,-6.294653483263827898e-01,4.782756721224638241e+00,2.360303718344685553e+00,-2.814808317208170152e+00,-9.222585230292961178e-01,-9.650319704922102337e-01,-7.267943277291650794e-01
9.099999999999999756e-02,-1.056908223339719566e+00,-1.439903339795600257e+00,-9.963119025102844972e+00,-9.983091268965329945e+00,-1.056908223339719566e+00,-1.294199000088077423e+00,2.057644105877801000e+00,4.544933802920732013e+00,-2.439735128392533370e-01,-1.422489537437128693e+00,-1.364898061297590559e-01,-1.900463450512818175e-01,-9.424084391224928081e-02,-4.307908857213472720e-01,-7.418995292201808816e-04,2.534450608565680940e-01,9.072641259044346151e-01,-3.632879512236412145e-01,2.192824124129594932e+00,3.081397221575565837e-02,-4.337288776146022151e-01,2.339350355238238588e-02,-9.875449709957477840e-01,-7.788388197515996869e-02,5.280140242604336898e+00,3.211891494935337765e-01,-2.704670920854554073e+00,-2.753949486501546320e-02,-9.880246734901603212e-01,4.754598568065425300e-17,-5.931092935078540185e-01,4.780362485250936544e+00,2.323966928571846946e+00,-2.768097792551047487e+00,-8.920592582009649885e-01,-9.653730694669981904e-01,-7.340999101391796344e-01
9.199999999999999845e-02,-1.012598373399015594e+00,-1.490602502421183306e+00,-1.004861005525468087e+01,-1.006951029933965103e+01,-1.012598373399015594e+00,-1.342170702363329582e+00,2.083559978278577862e+00,4.590215016388392577e+00,-2.628915981176858652e-01,-1.416062611755557921e+00,-1.357987995515657631e-01,-1.891898817988357795e-01,-9.376949623430295977e-02,-4.288433212525821769e-01,-7.484046150551824971e-04,2.522980261544430780e-01,8.732941227459779521e-01,-3.583871712376311969e-01,2.159559551880720463e+00,2.321652420375236447e-02,-4.267227835307633166e-01,2.036955814230446971e-02,-9.864672655060267026e-01,-7.829241534446702844e-02,5.255326376756495499e+00,3.185672624149804566e-01,-2.691980359366151543e+00,-2.729112217562137954e-02,-9.833601619855059095e-01,0.000000000000000000e+00,-6.210609043540470386e-01,4.761140405967298150e+00,2.288936932496865140e+00,-2.762533331396701985e+00,-8.828572269589668453e-01,-9.637390084582566629e-01,-7.341692393515836246e-01
9.299999999999999933e-02,-9.653021042527035744e-01,-1.543008155078624100e+00,-1.012576690057684203e+01,-1.014781290788180712e+01,-9.653021042527035744e-01,-1.390655485044403505e+00,2.107647331088213338e+00,4.632800947412575532e+00,-2.830499514377389225e-01,-1.358424010146750405e+00,-1.301109954881508046e-01,-1.815055663872264524e-01,-8.982997673525043580e-02,-4.113871336150762836e-01,-7.446370563763963146e-04,2.420248683613405172e-01,9.629835835514732878e-01,-3.424550909505260643e-01,2.240996607411680941e+00,-8.388154767107469656e-03,-4.389644026144479128e-01,1.838870502401077078e-02,-9.770663092058595733e-01,-7.917941769258902973e-02,5.218341862285297061e+00,3.141501829350837882e-01,-2.673061582315393370e+00,-2.688271887671778160e-02,-9.763894481075571230e-01,0.000000000000000000e+00,-4.746198442878661883e-01,4.745775775846619915e+00,2.373641223959538138e+00,-2.771279713817751400e+00,-8.772342551062419780e-01,-9.587453801399227205e-01,-7.350414408445190562e-01
9.400000000000000022e-02,-9.206626853343619077e-01,-1.586889788774484611e+00,-1.019777058491698440e+01,-1.022105556710501340e+01,-9.206626853343619077e-01,-1.429254070648900976e+00,2.126845690686218759e+00,4.672869107135177558e+00,-2.997590743701238902e-01,-1.361424304317765399e+00,-1.301657014321329076e-01,-1.819150816033534013e-01,-8.989586430676138606e-02,-4.122932146192027081e-01,-7.750156760369998100e-04,2.425543603828741734e-01,9.892336465746659480e-01,-3.311773702379111617e-01,2.241065354435061163e+00,-1.404756133836419785e-02,-4.419480985145348706e-01,1.623391965227287403e-02,-9.618456976705678230e-01,-8.095756439140974758e-02,5.194004741498940980e+00,3.095017717299760607e-01,-2.660630923324001973e+00,-2.641977216271860357e-02,-9.717708295616114267e-01,0.000000000000000000e+00,-4.531482221345092265e-01,4.732661669828897466e+00,2.368652044561683656e+00,-2.764574348969127904e+00,-8.806610852964562586e-01,-9.563119255853755885e-01,-7.192913372876936773e-01
